RG,sample,chr,start,end,length,number_of_markers,quality
RG,NMG03,1,69511,861630,792120,13,7.6
RG,NMG03,1,909768,1022423,112656,47,47.0
RG,NMG03,1,6585804,6645867,60064,21,18.8
RG,NMG03,1,11824303,11854457,30155,35,44.0
RG,NMG03,1,12776344,12907169,130826,18,4.8
RG,NMG03,1,17313343,17418883,105541,34,31.7
RG,NMG03,1,17657534,17681277,23744,20,9.1
RG,NMG03,1,22183739,22303465,119727,24,19.0
RG,NMG03,1,32860161,33547768,687608,33,40.9
RG,NMG03,1,39325063,39696647,371585,20,31.2
RG,NMG03,1,39757799,39950524,192726,28,30.9
RG,NMG03,1,43663376,43804340,140965,19,19.6
RG,NMG03,1,46054486,46347875,293390,20,17.3
RG,NMG03,1,63872600,64095042,222443,19,21.4
RG,NMG03,1,65068638,65523519,454882,20,26.2
RG,NMG03,1,89478868,89597755,118888,16,6.9
RG,NMG03,1,150049934,150524878,474945,41,34.0
RG,NMG03,1,151028234,151254036,225803,22,10.6
RG,NMG03,1,151372770,151634803,262034,22,24.5
RG,NMG03,1,152185768,152195709,9942,23,38.4
RG,NMG03,1,152957832,153233510,275679,19,11.7
RG,NMG03,1,154442960,154557685,114726,18,5.1
RG,NMG03,1,155294772,156007177,712406,39,48.4
RG,NMG03,1,158507160,158735595,228436,48,59.1
RG,NMG03,1,160808476,161253657,445182,48,56.5
RG,NMG03,1,163122528,164559536,1437009,13,9.7
RG,NMG03,1,177899121,178484834,585714,20,35.8
RG,NMG03,1,179320665,179521684,201020,24,9.2
RG,NMG03,1,193054154,196227526,3173373,9,3.1
RG,NMG03,1,197009798,197141243,131446,23,33.8
RG,NMG03,1,200342046,201081535,739490,46,52.7
RG,NMG03,1,201112981,201193668,80688,35,45.2
RG,NMG03,1,220142070,220603324,461255,29,42.0
RG,NMG03,1,237693479,237788844,95366,18,3.9
RG,NMG03,1,248344442,248604397,259956,29,39.4
RG,NMG03,2,10928710,10960883,32174,28,19.9
RG,NMG03,2,11053020,11702661,649642,17,13.4
RG,NMG03,2,24428859,24531598,102740,20,21.2
RG,NMG03,2,26321526,26486320,164795,19,13.6
RG,NMG03,2,31397727,31415077,17351,32,48.8
RG,NMG03,2,55077061,55473371,396311,33,29.9
RG,NMG03,2,97595109,97814956,219848,17,12.0
RG,NMG03,2,103120311,105654716,2534406,29,10.2
RG,NMG03,2,112858122,113404708,546587,21,11.7
RG,NMG03,2,121708663,121744225,35563,17,7.7
RG,NMG03,2,136511575,137639616,1128042,21,39.6
RG,NMG03,2,178301428,178681447,380020,23,32.1
RG,NMG03,2,209138946,209345666,206721,43,53.8
RG,NMG03,2,210594540,211452704,858165,17,21.0
RG,NMG03,2,215833622,215928677,95056,26,16.5
RG,NMG03,2,219093278,219691566,598289,62,62.2
RG,NMG03,2,220033830,220097286,63457,22,12.6
RG,NMG03,2,231860848,232196549,335702,15,8.6
RG,NMG03,2,241452068,241569329,117262,23,13.1
RG,NMG03,3,20017489,20212189,194701,21,15.9
RG,NMG03,3,38401677,38438372,36696,17,4.9
RG,NMG03,3,44283672,44826487,542816,17,13.7
RG,NMG03,3,47277458,47604299,326842,22,17.0
RG,NMG03,3,49753788,50264706,510919,20,12.1
RG,NMG03,3,52866988,53259996,393009,38,41.8
RG,NMG03,3,53857158,54157710,300553,28,42.5
RG,NMG03,3,69074878,69271032,196155,37,38.7
RG,NMG03,3,105252687,107097346,1844660,15,29.3
RG,NMG03,3,148545575,149192564,646990,41,51.5
RG,NMG03,3,169098861,169639321,540461,16,5.8
RG,NMG03,3,183454766,183558402,103637,22,19.7
RG,NMG03,3,184557280,184935807,378528,27,37.7
RG,NMG03,3,191074873,191179193,104321,20,17.2
RG,NMG03,3,194325325,194790422,465098,35,50.3
RG,NMG03,4,1050653,1216951,166299,32,39.2
RG,NMG03,4,1645758,2337603,691846,37,41.5
RG,NMG03,4,3039150,3219326,180177,27,26.0
RG,NMG03,4,36109409,36179343,69935,15,21.8
RG,NMG03,4,41985101,42400112,415012,19,27.2
RG,NMG03,4,44682465,46263864,1581400,20,35.4
RG,NMG03,4,48988705,54218736,5230032,15,10.6
RG,NMG03,4,55139978,55524304,384327,14,7.3
RG,NMG03,4,57180473,57425443,244971,24,18.4
RG,NMG03,4,65142835,68358331,3215497,20,36.4
RG,NMG03,4,71467710,72429371,961662,23,16.4
RG,NMG03,4,74281012,74735150,454139,27,31.9
RG,NMG03,4,75023709,75673455,649747,12,3.2
RG,NMG03,4,76650176,76836137,185962,41,15.7
RG,NMG03,4,83746019,84028838,282820,32,43.7
RG,NMG03,4,84191031,84338076,147046,16,9.6
RG,NMG03,4,102171606,103228830,1057225,18,19.6
RG,NMG03,4,129012181,134074058,5061878,20,22.0
RG,NMG03,4,139482958,140625323,1142366,18,17.0
RG,NMG03,4,155161666,155457601,295936,28,40.0
RG,NMG03,5,10250430,10505467,255038,23,17.8
RG,NMG03,5,34845473,35628820,783348,19,13.0
RG,NMG03,5,36103905,36612706,508802,27,36.7
RG,NMG03,5,64865346,64976305,110960,22,9.6
RG,NMG03,5,68531253,68862362,331110,23,18.9
RG,NMG03,5,79952165,80083631,131467,21,7.1
RG,NMG03,5,89910250,90024735,114486,22,23.3
RG,NMG03,5,98192545,101575091,3382547,14,12.7
RG,NMG03,5,107521677,109051987,1530311,12,6.2
RG,NMG03,5,127477418,127744405,266988,16,19.3
RG,NMG03,5,130808198,131312238,504041,12,5.5
RG,NMG03,5,147497932,148206348,708417,26,30.6
RG,NMG03,5,170640827,171200659,559833,17,19.3
RG,NMG03,6,13814340,15586009,1771670,16,13.9
RG,NMG03,6,33656654,33740325,83672,21,4.2
RG,NMG03,6,39828862,40399446,570585,18,14.5
RG,NMG03,6,41196040,41243740,47701,22,29.4
RG,NMG03,6,54054837,55428658,1373822,21,15.3
RG,NMG03,6,74079024,74320306,241283,23,28.7
RG,NMG03,6,80715838,82461520,1745683,25,36.5
RG,NMG03,6,121482295,123022496,1540202,18,23.3
RG,NMG03,6,125229856,125402711,172856,15,6.3
RG,NMG03,6,126072853,127901291,1828439,28,36.8
RG,NMG03,6,159146871,159618303,471433,24,21.1
RG,NMG03,6,168457966,168694594,236629,17,16.4
RG,NMG03,7,538277,716730,178454,15,5.1
RG,NMG03,7,2257612,2420127,162516,32,41.7
RG,NMG03,7,27169617,27807441,637825,19,15.8
RG,NMG03,7,32591158,32861230,270073,14,5.2
RG,NMG03,7,81346685,81589314,242630,14,6.2
RG,NMG03,7,99297601,99506683,209083,19,10.1
RG,NMG03,7,107738882,107791018,52137,17,11.3
RG,NMG03,7,133821619,134552766,731148,28,40.2
RG,NMG03,7,157234787,157318297,83511,17,6.2
RG,NMG03,7,158827516,158935333,107818,7,11.1
RG,NMG03,8,2005414,2071002,65589,31,36.4
RG,NMG03,8,8875593,24187399,15311807,497,74.4
RG,NMG03,8,24208847,28651298,4442452,197,71.6
RG,NMG03,8,28899997,33311091,4411095,62,58.6
RG,NMG03,8,33369994,52721958,19351965,177,58.9
RG,NMG03,8,73150491,95160949,22010459,128,53.7
RG,NMG03,8,95172487,95521875,349389,23,15.8
RG,NMG03,8,95527078,98787739,3260662,68,50.9
RG,NMG03,8,98943598,101721705,2778108,48,44.8
RG,NMG03,8,102555060,113254087,10699028,78,52.2
RG,NMG03,8,113599196,124978712,11379517,144,64.1
RG,NMG03,8,139151375,139189502,38128,13,3.9
RG,NMG03,8,139614582,139691824,77243,27,24.6
RG,NMG03,8,144650547,144694890,44344,29,17.9
RG,NMG03,9,16699008,17394457,695450,15,6.9
RG,NMG03,9,86241489,86900369,658881,20,21.1
RG,NMG03,9,114982463,115248932,266470,20,33.4
RG,NMG03,9,125315393,125391875,76483,23,11.2
RG,NMG03,9,126125318,126202551,77234,17,12.1
RG,NMG03,9,130635540,130928633,293094,41,42.9
RG,NMG03,9,133972131,134183379,211249,20,15.2
RG,NMG03,9,134505545,135374898,869354,24,26.3
RG,NMG03,10,95074,323283,228210,11,3.9
RG,NMG03,10,12123666,12227067,103402,19,15.9
RG,NMG03,10,30986242,32103077,1116836,18,4.0
RG,NMG03,10,74127853,75578776,1450924,20,12.8
RG,NMG03,10,79552151,79769647,217497,23,34.1
